,precision,recall,f1-score,support
Backdoor_Malware,0.0,0.0,0.0,89.0
BenignTraffic,0.6417910447761194,0.01075,0.021145807720678634,8000.0
BrowserHijacking,0.0,0.0,0.0,134.0
CommandInjection,0.0,0.0,0.0,119.0
DDoS-ACK_Fragmentation,0.0057578173443174775,0.00891387822270982,0.006996394166083634,7292.0
DDoS-HTTP_Flood,0.0,0.0,0.0,709.0
DDoS-ICMP_Flood,0.8443157132512672,0.583,0.6897367642709258,8000.0
DDoS-ICMP_Fragmentation,0.37469138790724693,0.9675,0.5401821544474299,8000.0
DDoS-PSHACK_Flood,0.6740033688938798,0.75025,0.7100857734398107,8000.0
DDoS-RSTFINFlood,0.527722699566718,0.89825,0.6648471110699912,8000.0
DDoS-SYN_Flood,0.08891288696904248,0.030875,0.04583410651326777,8000.0
DDoS-SlowLoris,0.0,0.0,0.0,622.0
DDoS-SynonymousIP_Flood,0.01764014112112897,0.016875,0.017249089631380565,8000.0
DDoS-TCP_Flood,0.06346058502726822,0.096,0.07641030743209631,8000.0
DDoS-UDP_Flood,0.8986468559299549,0.423375,0.5755799133316339,8000.0
DDoS-UDP_Fragmentation,0.4588158182215425,0.5813953488372093,0.512883135914031,7224.0
DNS_Spoofing,0.3170731707317073,0.0028446389496717722,0.005638690088917805,4570.0
DictionaryBruteForce,0.07692307692307693,0.003134796238244514,0.006024096385542169,319.0
DoS-HTTP_Flood,0.0,0.0,0.0,1805.0
DoS-SYN_Flood,0.11347407637379696,0.091375,0.10123251627198449,8000.0
DoS-TCP_Flood,0.023622047244094488,0.01125,0.015241320914479255,8000.0
DoS-UDP_Flood,0.14084081610236976,0.641125,0.23094761014926718,8000.0
MITM-ArpSpoofing,0.07130159984199091,0.046045918367346936,0.05595597922963652,7840.0
Mirai-greeth_flood,0.11784511784511785,0.004375,0.008436784379896348,8000.0
Mirai-greip_flood,0.6949734088179791,0.506375,0.5858702726155182,8000.0
Mirai-udpplain,0.16788644932357508,0.094625,0.12103285634343273,8000.0
Recon-HostDiscovery,0.0030211480362537764,0.0015010507355148605,0.0020056157240272766,3331.0
Recon-OSScan,0.0,0.0,0.0,2433.0
Recon-PingSweep,0.0,0.0,0.0,53.0
Recon-PortScan,0.05194805194805195,0.0019212295869356388,0.0037054191755442334,2082.0
SqlInjection,0.0,0.0,0.0,148.0
Uploading_Attack,0.0,0.0,0.0,33.0
VulnerabilityScan,0.0,0.0,0.0,913.0
XSS,0.0,0.0,0.0,103.0
accuracy,0.2856794248493608,0.2856794248493608,0.2856794248493608,0.2856794248493608
macro avg,0.18749021418224998,0.1697575547334598,0.14697181527104633,159819.0
weighted avg,0.30425588291074174,0.2856794248493608,0.2469513972348112,159819.0
