label,count
Mirai-udpplain,30000
DDoS-SYN_Flood,30000
DDoS-TCP_Flood,30000
DoS-SYN_Flood,30000
DDoS-RSTFINFlood,30000
DDoS-UDP_Fragmentation,30000
DoS-UDP_Flood,30000
MITM-ArpSpoofing,30000
Mirai-greip_flood,30000
DDoS-UDP_Flood,30000
DDoS-ACK_Fragmentation,30000
DDoS-SynonymousIP_Flood,30000
DoS-TCP_Flood,30000
Mirai-greeth_flood,30000
BenignTraffic,30000
DDoS-ICMP_Flood,30000
DDoS-ICMP_Fragmentation,30000
DDoS-PSHACK_Flood,30000
DNS_Spoofing,21214
Recon-HostDiscovery,15737
Recon-OSScan,11587
Recon-PortScan,9648
DoS-HTTP_Flood,8487
VulnerabilityScan,4396
DDoS-HTTP_Flood,3371
DDoS-SlowLoris,2757
DictionaryBruteForce,1541
BrowserHijacking,665
CommandInjection,620
SqlInjection,590
XSS,414
Backdoor_Malware,392
Recon-PingSweep,249
Uploading_Attack,140
