,precision,recall,f1-score,support
BenignTraffic,0.8538390379278445,0.923,0.8870735223450265,8000.0
DDoS-ICMP_Flood,0.9998748122183275,0.998375,0.999124343257443,8000.0
DDoS-PSHACK_Flood,1.0,0.99925,0.9996248593222459,8000.0
DDoS-SYN_Flood,0.9993745308981736,0.998625,0.9989996248593223,8000.0
DDoS-TCP_Flood,0.9997497497497497,0.99875,0.9992496248124062,8000.0
DDoS-UDP_Flood,0.9994995621168522,0.998625,0.999062089664228,8000.0
DNS_Spoofing,0.8280201342281879,0.8638949671772429,0.8455772113943029,4570.0
DoS-HTTP_Flood,0.9777536625067824,0.9983379501385041,0.9879385964912281,1805.0
DoS-SYN_Flood,0.998496993987976,0.9965,0.9974974974974975,8000.0
DoS-TCP_Flood,0.9998749061796347,0.999125,0.9994998124296611,8000.0
DoS-UDP_Flood,0.998747808665164,0.997,0.997873138996622,8000.0
MITM-ArpSpoofing,0.9264290517821117,0.8785714285714286,0.9018657937806874,7840.0
Mirai-greeth_flood,0.9992484028560692,0.997125,0.9981855721704311,8000.0
Mirai-greip_flood,0.9958847736625515,0.99825,0.9970659841438292,8000.0
Mirai-udpplain,0.9987495310741528,0.998375,0.9985622304182035,8000.0
Recon-OSScan,0.8891625615763546,0.7418824496506371,0.8088729554111584,2433.0
accuracy,0.9735370357218948,0.9735370357218948,0.9735370357218948,0.9735370357218948
macro avg,0.9665440949643708,0.9616054247211132,0.9635045535621434,112648.0
weighted avg,0.9740266540659981,0.9735370357218948,0.9734809241693585,112648.0
