batch_start,batch_end,records,latency_seconds,throughput_records_per_second,detected_attacks
0,1000,1000,0.036341190338134766,27516.985291223282,999
1000,2000,1000,0.05477261543273926,18257.298690218646,1000
2000,3000,1000,0.03983473777770996,25103.71740314462,998
3000,4000,1000,0.03560280799865723,28087.672186916137,999
4000,5000,1000,0.0385587215423584,25934.469816419027,997
5000,6000,1000,0.03869366645812988,25844.022847565822,997
6000,7000,1000,0.03952336311340332,25301.490592557293,999
7000,8000,1000,0.03894758224487305,25675.534715165464,999
8000,9000,1000,0.038172006607055664,26197.20808219606,1000
9000,10000,1000,0.03731656074523926,26797.753598650626,1000
10000,11000,1000,0.041617393493652344,24028.41494993011,999
11000,12000,1000,0.03771233558654785,26516.522629712283,997
12000,13000,1000,0.038092613220214844,26251.8088275793,998
13000,14000,1000,0.04085230827331543,24478.420981983927,1000
14000,15000,1000,0.04299306869506836,23259.56323547353,999
15000,16000,1000,0.04260587692260742,23470.940448344172,999
16000,17000,1000,0.04710817337036133,21227.73880740538,999
17000,18000,1000,0.04851841926574707,20610.729185605967,1000
18000,19000,1000,0.041542768478393555,24071.578198263345,1000
19000,20000,1000,0.04188704490661621,23873.729985713228,999
20000,21000,1000,0.041559696197509766,24061.773581008983,999
21000,22000,1000,0.042235612869262695,23676.701533737138,999
22000,23000,1000,0.04407954216003418,22686.261040766323,1000
23000,24000,1000,0.042702436447143555,23417.86753169893,999
24000,25000,1000,0.04247570037841797,23542.87253867397,1000
25000,26000,1000,0.04153728485107422,24074.756055561935,1000
26000,27000,1000,0.04227304458618164,23655.73641049936,998
27000,28000,1000,0.04202985763549805,23792.609736450995,998
28000,29000,1000,0.03905510902404785,25604.84466665446,998
29000,30000,1000,0.04263114929199219,23457.0265312514,1000
30000,31000,1000,0.04427289962768555,22587.18106131593,1000
31000,32000,1000,0.04219555854797363,23699.176747786485,998
32000,33000,1000,0.0423276424407959,23625.223195426253,1000
33000,34000,1000,0.04141640663146973,24145.020810186918,1000
34000,35000,1000,0.043419837951660156,23030.94730830899,1000
35000,36000,1000,0.040583133697509766,24640.778296067398,998
36000,37000,1000,0.041498661041259766,24097.16301462731,999
37000,38000,1000,0.042969465255737305,23272.339882481538,999
38000,39000,1000,0.042783498764038086,23373.497467218735,999
39000,40000,1000,0.04143071174621582,24136.684064843215,999
40000,41000,1000,0.05695462226867676,17557.837453167842,999
41000,42000,1000,0.04416203498840332,22643.884057032104,999
42000,43000,1000,0.041074275970458984,24346.13821846086,1000
43000,44000,1000,0.04154610633850098,24069.644261062684,998
44000,45000,1000,0.04317522048950195,23161.433541333037,1000
45000,46000,1000,0.045636892318725586,21912.09675312802,999
46000,47000,1000,0.04237174987792969,23600.630204816567,998
47000,48000,1000,0.04319882392883301,23148.778347471423,1000
48000,49000,1000,0.04051399230957031,24682.830375217738,999
49000,50000,1000,0.04018592834472656,24884.332431534483,999
50000,51000,1000,0.04294443130493164,23285.906219118155,1000
51000,52000,1000,0.04075145721435547,24538.999789380076,999
52000,53000,1000,0.043770790100097656,22846.286249645946,1000
